bio_source,0,1,2,3,4,5,6,7,8,9,mean
bio_source_Dorsal section of lumbar spinal cord,0.372213710999177,0.4122063213362826,0.3837621486755203,0.3848106196646657,0.3771626349875019,0.4392413825889142,0.3920331311383733,0.429621729175448,0.4444195719639805,0.4250639969261682,0.4060535247456032
bio_source_E14 mESC,0.4301367965602862,0.4304841138283469,0.4059265459560567,0.4265122484250542,0.3740426049027784,0.4414392896433523,0.3593071948111739,0.4030424632702495,0.4093245651714303,0.3785336105710412,0.405874943313977
bio_source_E14Tg2a mESC,0.4827220250670587,0.5150057524179361,0.4840711461600765,0.5404605995967162,0.4885279386623113,0.5084884603567119,0.5073961508875866,0.5342788872798772,0.5110649497534356,0.4921453314954498,0.5064161241677161
bio_source_ES cell derived neurons,0.5071761898999869,0.511105368945112,0.4661400393320749,0.504433826603766,0.4706221443763745,0.5254641531483963,0.456846149764661,0.5066842099071521,0.4369737653534914,0.4916020543995715,0.4877047901730587
bio_source_Epiblast like cells,0.5135461537516691,0.5632718173736873,0.5196289095398972,0.5746945485109147,0.5122956709307014,0.5524756790831202,0.5393680828925704,0.5462974278728839,0.5222401843939024,0.5245199666158795,0.5368338440965226
bio_source_Epidermal basal cells,0.6334981964980578,0.6260852973253822,0.6644666310518572,0.6459593041355163,0.6017575359556175,0.65821729401444,0.636518585912948,0.6380589146176583,0.6017227461401349,0.6068746211063314,0.6313159126757943
bio_source_Fetal cortex,0.6321340023576854,0.6609069121123693,0.6313573491382167,0.6134405458432075,0.6188560008096341,0.6477768360205817,0.6590464094861858,0.6554307609704915,0.6306266070040389,0.629398171147087,0.6378973594889499
bio_source_Flt3L-DC,0.2603342651433836,0.2878884883531187,0.2535011548945257,0.2711842621481982,0.2564765783349786,0.2933733483731879,0.2470796278231846,0.2756395092724314,0.2481077265953614,0.260676209051869,0.2654261169990239
bio_source_Forebrain,0.4117209479598084,0.4489710392566028,0.4295906643127803,0.4335427132460966,0.3961266563748258,0.4943311067358044,0.4207839253184451,0.4478024203596282,0.3986341171321168,0.4042390604738118,0.428574265116992
bio_source_HFSC,0.1519059689737153,0.1136454355258467,-0.0117470927635885,0.0946898328677272,0.1347156054291788,0.0654759983466145,0.0719017812836509,0.1026955784006835,-0.0096652910621242,0.0213948490935453,0.0735012666095249
bio_source_Ileum,0.4134070914399508,0.4060250497299175,0.4013379676548265,0.4006540772895565,0.3510906241724342,0.4306089959759367,0.4166144272925792,0.4013072633264901,0.4124651645175918,0.3951872683991566,0.402869792979844
bio_source_J1 mESC,0.5087081600521921,0.5547453094631685,0.4795541036250355,0.4946213682025174,0.473677514032051,0.4727136060930501,0.5129906096562445,0.5057797707006172,0.4875043934840967,0.492726042979245,0.4983020878288218
bio_source_KH2 mESC,0.5529791544042227,0.5951446040714851,0.5492155839773825,0.5779434053566141,0.53816387951739,0.5522476519898879,0.5574878320937595,0.5836785043300661,0.54589902415617,0.5344470826182697,0.5587206722515247
bio_source_KRPC-A cells (from gen. eng. murine tumors),0.2273008129847709,0.2356101201602287,0.0627134506741826,0.1932630794065303,0.1702234476442304,0.0771584207000248,0.1147980969953524,0.1550553966990462,0.0628480410217686,0.069340438763319,0.1368311305049454
bio_source_MN1 cells,0.3923006004899003,0.3360478907663424,0.3671713895561352,0.3863633511433206,0.3546504565923607,0.386194825161351,0.3653253435594801,0.3869324999699183,0.3472931090613865,0.3574689118133144,0.367974837811351
bio_source_Mammary tissue,0.5149400358659328,0.5284765434715806,0.5087039568616352,0.5365324534194913,0.5123398124519556,0.5370894676241652,0.5091410756647923,0.5373326954727035,0.5269511040348276,0.505491512759521,0.5216998657626605
bio_source_Mouse back skins,0.3252237518181875,0.3788633124807929,0.3743856353366449,0.3399307339322278,0.313089963081101,0.4378287970189937,0.3878780039556084,0.3883304900321129,0.3802055760847398,0.3366499712784364,0.3662386235018845
bio_source_NSC,0.399771849192133,0.4115887968262173,0.378408038852124,0.4411341495250105,0.3930199829730275,0.4211031815322582,0.3713181540051792,0.4047890508215346,0.3963502512703213,0.3885537805530542,0.400603723555086
bio_source_Neuro2a,0.4976826161796835,0.4431872503513973,0.4694021392537644,0.5250459976791254,0.4802086699617126,0.4983649792952664,0.477999668223075,0.5114603315643633,0.4663838859695762,0.4792053481985723,0.4848940886676537
bio_source_Neurons (DIV 8) derived from CGR8 ES cells,0.4645222806022653,0.5190185149416779,0.4740259921855398,0.5302341442978746,0.4787422798115364,0.49112184761808,0.5103985336771575,0.5295890603946906,0.5079065825235023,0.5068436114123551,0.501240284746468
bio_source_P19,0.3346061681246491,0.2919830279642592,0.1857031077241849,0.3065135059962488,0.2316455359145482,0.2357459648428832,0.2026685957365674,0.2848281283179877,0.1703095246569382,0.2393727928220164,0.2483376352100283
bio_source_Primary Keratinocytes,0.3495057439585154,0.3158539383536519,0.2970946248879711,0.3614327291874315,0.3079552864193106,0.3605612334642898,0.348468086493091,0.356294050325046,0.3029235159208236,0.339048680937161,0.3339137889947292
bio_source_Primary cortical neurons,0.3745725143641181,0.4230879235857528,0.4170706545875562,0.3962417867610572,0.3613193101991723,0.4248484009548092,0.3819814781556466,0.4098730714767423,0.3314730317531064,0.3777815035928858,0.3898249675430847
bio_source_Quadriceps muscle,0.3812416794180499,0.4101656367546956,0.3801063329872454,0.3909215540709679,0.3595292558336829,0.41245721519128,0.394917588936343,0.4134613072976013,0.4053450583143436,0.3866868817997183,0.3934832510603928
bio_source_R1 mESC,0.3670391039574173,0.4164875318141317,0.3839114607550027,0.3797102378573866,0.3503502270248212,0.4261742231730862,0.3116883785497316,0.3499620046689451,0.3283490418447136,0.3662068502303356,0.3679879059875572
bio_source_R1/E mESC,0.3800921870967142,0.4130355503654901,0.3599394411125761,0.408168676400549,0.3458761472810526,0.3569755627498975,0.3266872190569854,0.4198991527612916,0.2966921495355918,0.3261241287175833,0.3633490215077731
bio_source_RAW264.7,0.3057919364678677,0.3074219130060903,0.3387361745337375,0.2901367401684739,0.3165322490972344,0.3139335501299409,0.2979652362288738,0.328554788713005,0.214390087927719,0.2663754498927906,0.2979838126165733
bio_source_RF8 mESC,0.5030167694630141,0.5423451704986747,0.5430298513880285,0.5328371777784696,0.518046768780627,0.5647374115837019,0.4932335108701156,0.5280052542847353,0.5239033316048398,0.5121053021909322,0.5261260548443139
