,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
263,bio_source_HeLa S3,mean,0.586304994721936,0.2506508697762748,7.795741558074951
264,bio_source_HepG2,0,0.3267102780230693,0.2693464255546325,7.735333204269409
265,bio_source_HepG2,1,0.355178463749446,0.248505935903977,7.842830657958984
266,bio_source_HepG2,2,0.3084966445760013,0.3292748719341979,7.768236875534058
267,bio_source_HepG2,3,0.2994732444477332,0.2497009459151342,7.782219886779785
268,bio_source_HepG2,4,0.3000918866248377,0.2749997792141342,7.765753269195557
269,bio_source_HepG2,5,0.3260955275519885,0.2822126999770494,7.836436748504639
270,bio_source_HepG2,6,0.3101873552802245,0.275789315095026,7.794604539871216
271,bio_source_HepG2,7,0.2907864138745667,0.2814124803746095,7.766646385192871
272,bio_source_HepG2,8,0.2851910841899089,0.2685288638433304,7.738435506820679
273,bio_source_HepG2,9,0.3122677503707666,0.2782932941344934,7.783816576004028
274,bio_source_HepG2,mean,0.3114478648688543,0.2758064611946585,7.781431365013122
275,bio_source_Huh-7.5,0,0.4430005513412417,0.2494590435505511,7.850800514221191
276,bio_source_Huh-7.5,1,0.52772338847169,0.2103705578755798,7.764963388442993
277,bio_source_Huh-7.5,2,0.4434542921491223,0.2631597375388927,7.747943162918091
278,bio_source_Huh-7.5,3,0.4751526835775623,0.2290256667769976,7.776232242584228
279,bio_source_Huh-7.5,4,0.4879191277183857,0.2267157696806959,7.880860567092895
280,bio_source_Huh-7.5,5,0.4812195950095483,0.2339356367701369,7.76946496963501
281,bio_source_Huh-7.5,6,0.4575015523777009,0.2461203497095602,7.801811933517456
282,bio_source_Huh-7.5,7,0.470168527602033,0.2234160444963699,7.790710210800171
283,bio_source_Huh-7.5,8,0.4946726350283429,0.2273746746488714,7.886517524719238
284,bio_source_Huh-7.5,9,0.4451159491291767,0.2466172870353845,7.762171983718872
285,bio_source_Huh-7.5,mean,0.4725928302404804,0.235619476808304,7.803147649765014
286,bio_source_Huh7,0,0.409588193111249,0.2687413533811745,7.783550500869751
287,bio_source_Huh7,1,0.4368743682110306,0.2453197260493461,7.777195930480957
288,bio_source_Huh7,2,0.3681586408359484,0.3106149308620817,7.763500452041626
289,bio_source_Huh7,3,0.3985043578095752,0.2912528617318182,7.874918699264526
290,bio_source_Huh7,4,0.442195963413908,0.2668520941666041,7.757263898849487
291,bio_source_Huh7,5,0.3906814131445988,0.2737866452985243,7.803720235824585
292,bio_source_Huh7,6,0.4180708587684613,0.2847419796380687,7.800032377243042
293,bio_source_Huh7,7,0.3460700592838718,0.2938793100888889,7.904465675354004
294,bio_source_Huh7,8,0.3926560066299861,0.2778904525005864,7.780921697616577
295,bio_source_Huh7,9,0.3944271325712926,0.2998319983582832,7.794529914855957
296,bio_source_Huh7,mean,0.3997226993779922,0.2812911352075377,7.804009938240052
297,bio_source_K562,0,0.4082781632487073,0.4476757830930119,7.771054029464722
298,bio_source_K562,1,0.4176855239442796,0.4450174067876019,7.877112865447998
299,bio_source_K562,2,0.4104134816773874,0.5021306384744101,7.770890951156616
300,bio_source_K562,3,0.4185694517578645,0.4610020712765745,7.822719812393188
301,bio_source_K562,4,0.432503191981601,0.447825439825916,7.778782367706299
302,bio_source_K562,5,0.3892021489575868,0.4377404761297199,7.914653301239014
303,bio_source_K562,6,0.4599839637901014,0.3987223749344523,7.783675670623779
304,bio_source_K562,7,0.3905642319165379,0.4436660694467613,7.794284343719482
305,bio_source_K562,8,0.4239370364435466,0.4233560531441313,7.771406412124634
306,bio_source_K562,9,0.4522924958408798,0.3970832444462662,7.825839757919311
307,bio_source_K562,mean,0.4203429689558492,0.4404219557558845,7.811041951179504
308,bio_source_Kidney normal tissue,0,0.3716874825264726,0.7877401545436608,7.88013482093811
309,bio_source_Kidney normal tissue,1,0.3952323663687128,0.711280171194285,7.762042045593262
310,bio_source_Kidney normal tissue,2,0.3646854732209039,0.7760408434121626,7.775753498077393
311,bio_source_Kidney normal tissue,3,0.4056284212017474,0.7386116828477338,7.8000218868255615
312,bio_source_Kidney normal tissue,4,0.3754608721805993,0.823182814343578,7.839252471923828
313,bio_source_Kidney normal tissue,5,0.4025106612454172,0.7648608902367237,7.772241830825806
314,bio_source_Kidney normal tissue,6,0.392985816699452,0.7153505437452693,7.770777463912964
315,bio_source_Kidney normal tissue,7,0.365159083887585,0.7600584390761812,7.77810788154602
316,bio_source_Kidney normal tissue,8,0.3594949930539733,0.7495706809114804,7.87692928314209
317,bio_source_Kidney normal tissue,9,0.3865014057346494,0.7741026425792236,7.756776571273804
318,bio_source_Kidney normal tissue,mean,0.3819346576119513,0.7600798862890298,7.801203775405884
319,bio_source_LCL,0,0.5360605071464214,0.4919605506218608,7.779066324234009
320,bio_source_LCL,1,0.597583591862066,0.4244397334602101,7.784519195556641
321,bio_source_LCL,2,0.5409784720135924,0.5022426619228232,7.898249626159668
322,bio_source_LCL,3,0.5809745295010905,0.4323969959892915,7.7884461879730225
323,bio_source_LCL,4,0.5963731975694175,0.4473415783168572,7.785437107086182
324,bio_source_LCL,5,0.5796828004255202,0.4374926526517688,7.798571348190308
325,bio_source_LCL,6,0.5820126201391815,0.4358181792050919,7.907882213592529
326,bio_source_LCL,7,0.5527710642015452,0.4398168410205361,7.787492036819458
327,bio_source_LCL,8,0.5787215544318076,0.4294380059971256,7.802929401397705
328,bio_source_LCL,9,0.5830834016364055,0.4367704181406068,7.811744451522827
329,bio_source_LCL,mean,0.5728241738927048,0.4477717617326172,7.814433789253234
330,bio_source_LuCaP-PDX,0,0.5693400733261194,0.2407295524178508,7.873571395874023
331,bio_source_LuCaP-PDX,1,0.5891620459602542,0.2207576196681771,7.783370018005371
332,bio_source_LuCaP-PDX,2,0.5466311661474301,0.252457576990243,7.790694952011108
333,bio_source_LuCaP-PDX,3,0.6026638360300642,0.213409398144056,7.789002418518066
334,bio_source_LuCaP-PDX,4,0.6109273328586791,0.2119080708434194,7.820199489593506
335,bio_source_LuCaP-PDX,5,0.6101172095122596,0.2274284294174637,7.79750394821167
336,bio_source_LuCaP-PDX,6,0.6033468631542495,0.21916496024971,7.812421798706055
337,bio_source_LuCaP-PDX,7,0.5619565728642295,0.2196371849528448,7.792161226272583
338,bio_source_LuCaP-PDX,8,0.5886456494130701,0.2173762441933614,7.797504663467407
339,bio_source_LuCaP-PDX,9,0.6068176890284184,0.202652173662782,7.884015321731567
340,bio_source_LuCaP-PDX,mean,0.5889608438294774,0.2225521210539908,7.814044523239136
341,bio_source_MCF10A,0,0.453017850330771,0.2865930127921499,7.782835721969604
342,bio_source_MCF10A,1,0.5318988397520134,0.2475923350507139,7.781518459320068
343,bio_source_MCF10A,2,0.4984315730088553,0.2758891816502952,7.777618169784546
344,bio_source_MCF10A,3,0.5146913626075487,0.2558514366170338,7.853488445281982
345,bio_source_MCF10A,4,0.5419143997134159,0.245880431279263,7.801542997360229
346,bio_source_MCF10A,5,0.5318869250549336,0.2471822277924794,7.791019678115845
347,bio_source_MCF10A,6,0.5297982847185152,0.2624121456349425,7.790684223175049
348,bio_source_MCF10A,7,0.4708111665415565,0.2602182571643827,7.87749457359314
349,bio_source_MCF10A,8,0.4709567095769632,0.2597492578061625,7.792874574661255
350,bio_source_MCF10A,9,0.5112934892262944,0.2560896630475415,7.7815022468566895
351,bio_source_MCF10A,mean,0.5054700600530868,0.2597457948834965,7.803057909011841
352,bio_source_MCF10A-ER-Src,0,0.5267015450691985,0.22016100248449,7.774154901504517
353,bio_source_MCF10A-ER-Src,1,0.5746547733179597,0.1965234076343934,7.863704442977905
354,bio_source_MCF10A-ER-Src,2,0.5066853621757876,0.2616407819727092,7.738051176071167
355,bio_source_MCF10A-ER-Src,3,0.5540793795078758,0.2122256618715169,7.759984254837036
356,bio_source_MCF10A-ER-Src,4,0.5771598518587986,0.1930909137438819,7.759092330932617
357,bio_source_MCF10A-ER-Src,5,0.5452466564585389,0.2015272202448725,7.874119520187378
358,bio_source_MCF10A-ER-Src,6,0.5662020359338208,0.212868698056659,7.811792135238647
359,bio_source_MCF10A-ER-Src,7,0.5303704714084422,0.2093816338247029,7.79028844833374
360,bio_source_MCF10A-ER-Src,8,0.5209090893781142,0.2412550297232134,7.776553392410278
361,bio_source_MCF10A-ER-Src,9,0.5493349609368157,0.1985658307372144,7.891919136047363
362,bio_source_MCF10A-ER-Src,mean,0.5451344126045352,0.2147240180293654,7.803965973854065
363,bio_source_MCF7,0,0.5062443543926135,0.4804419037580903,7.724891185760498
364,bio_source_MCF7,1,0.5369221874949974,0.4371554605972011,7.730333089828491
365,bio_source_MCF7,2,0.5047675868254942,0.4978585646350591,7.737716913223267
366,bio_source_MCF7,3,0.5464993840252608,0.4494039554007201,7.756600379943848
367,bio_source_MCF7,4,0.5821184787338975,0.4028676745772968,7.74895715713501
